,group,osm_cinemas,likely count,possible count
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,men,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,children 10-17,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,45-64,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
0,65 and over,1,0,0
